Volunteers,Internships,National_Honor,National_Top3,International_Honor,International_Top3,Certification,Professional_Certification,Scholarship_Type,Scholarship_Name,GPA
41,21,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.3
40,15,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.6
31,20,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.17
34,29,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.91
40,33,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.37
21,24,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.61
35,5,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.19
22,42,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.08
25,9,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.66
23,22,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.1
44,14,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.06
23,41,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.05
37,21,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.85
50,9,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.07
43,39,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.49
49,43,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.71
22,36,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.39
55,36,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.54
21,34,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.11
30,43,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.02
48,13,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.4
54,23,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.91
53,3,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.85
33,28,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.94
26,17,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.93
28,33,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.83
32,2,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.45
29,34,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.65
35,7,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.41
46,17,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.9
50,20,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.43
32,2,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.21
31,5,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.36
26,9,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.4
36,32,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.23
44,39,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.6
43,17,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.07
39,16,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.34
39,29,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.26
26,15,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.45
43,7,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.98
37,41,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.23
35,15,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.79
32,37,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.31
48,22,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.93
44,42,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.57
31,42,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.61
49,42,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.37
30,11,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.57
54,16,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.12
42,11,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.82
55,15,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.83
55,36,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.22
20,31,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.54
