honors,experience,gpa,scholarship_tag,scholarship_name
0,2,3.77,10,Beasiswa Bakti BCA
0,3,3.95,10,Beasiswa Bakti BCA
0,1,3.46,10,Beasiswa Bakti BCA
0,2,3.95,10,Beasiswa Bakti BCA
3,3,3.57,10,Beasiswa Bakti BCA
3,2,3.69,10,Beasiswa Bakti BCA
2,4,3.65,10,Beasiswa Bakti BCA
3,3,3.87,10,Beasiswa Bakti BCA
1,3,3.95,10,Beasiswa Bakti BCA
1,3,3.26,10,Beasiswa Bakti BCA
0,3,3.37,10,Beasiswa Bakti BCA
3,2,3.73,10,Beasiswa Bakti BCA
0,3,3.51,10,Beasiswa Bakti BCA
0,2,3.47,10,Beasiswa Bakti BCA
3,3,3.99,10,Beasiswa Bakti BCA
2,3,3.52,10,Beasiswa Bakti BCA
0,1,3.48,10,Beasiswa Bakti BCA
1,3,3.84,10,Beasiswa Bakti BCA
0,1,3.86,10,Beasiswa Bakti BCA
0,4,3.83,10,Beasiswa Bakti BCA
3,3,3.48,10,Beasiswa Bakti BCA
0,3,3.28,10,Beasiswa Bakti BCA
2,2,3.87,10,Beasiswa Bakti BCA
1,2,3.67,10,Beasiswa Bakti BCA
0,2,3.29,10,Beasiswa Bakti BCA
2,2,3.99,10,Beasiswa Bakti BCA
0,2,3.69,10,Beasiswa Bakti BCA
0,2,3.81,10,Beasiswa Bakti BCA
0,2,3.33,10,Beasiswa Bakti BCA
3,4,3.96,10,Beasiswa Bakti BCA
1,2,3.85,10,Beasiswa Bakti BCA
1,3,3.37,10,Beasiswa Bakti BCA
0,3,3.28,10,Beasiswa Bakti BCA
2,3,3.59,10,Beasiswa Bakti BCA
0,4,3.95,10,Beasiswa Bakti BCA
0,4,3.99,10,Beasiswa Bakti BCA
0,2,3.63,10,Beasiswa Bakti BCA
0,3,3.6,10,Beasiswa Bakti BCA
3,2,3.64,10,Beasiswa Bakti BCA
1,3,3.34,10,Beasiswa Bakti BCA
1,2,3.68,10,Beasiswa Bakti BCA
0,1,3.56,10,Beasiswa Bakti BCA
0,3,3.42,10,Beasiswa Bakti BCA
3,1,3.51,10,Beasiswa Bakti BCA
3,2,3.38,10,Beasiswa Bakti BCA
0,2,3.43,10,Beasiswa Bakti BCA
1,3,3.79,10,Beasiswa Bakti BCA
0,2,3.45,10,Beasiswa Bakti BCA
4,2,3.55,10,Beasiswa Bakti BCA
3,2,3.74,10,Beasiswa Bakti BCA
0,2,3.61,10,Beasiswa Bakti BCA
0,4,3.82,10,Beasiswa Bakti BCA
1,3,3.54,10,Beasiswa Bakti BCA
3,3,3.61,10,Beasiswa Bakti BCA
0,3,3.54,10,Beasiswa Bakti BCA
0,4,3.33,10,Beasiswa Bakti BCA
0,3,3.83,10,Beasiswa Bakti BCA
1,2,3.52,10,Beasiswa Bakti BCA
0,2,3.45,10,Beasiswa Bakti BCA
1,1,3.83,10,Beasiswa Bakti BCA
4,2,3.57,10,Beasiswa Bakti BCA
4,2,3.62,10,Beasiswa Bakti BCA
0,3,3.38,10,Beasiswa Bakti BCA
3,4,3.43,10,Beasiswa Bakti BCA
0,2,3.86,10,Beasiswa Bakti BCA
0,1,3.91,10,Beasiswa Bakti BCA
2,3,3.9,10,Beasiswa Bakti BCA
3,2,3.35,10,Beasiswa Bakti BCA
4,3,3.44,10,Beasiswa Bakti BCA
4,4,3.52,10,Beasiswa Bakti BCA
1,3,3.3,10,Beasiswa Bakti BCA
1,3,3.64,10,Beasiswa Bakti BCA
3,4,3.89,10,Beasiswa Bakti BCA
0,3,3.64,10,Beasiswa Bakti BCA
0,3,3.38,10,Beasiswa Bakti BCA
1,3,3.65,10,Beasiswa Bakti BCA
0,1,3.46,10,Beasiswa Bakti BCA
0,3,3.3,10,Beasiswa Bakti BCA
0,3,3.84,10,Beasiswa Bakti BCA
2,4,3.82,10,Beasiswa Bakti BCA
0,1,3.7,10,Beasiswa Bakti BCA
0,2,3.32,10,Beasiswa Bakti BCA
0,3,3.27,10,Beasiswa Bakti BCA
2,3,3.85,10,Beasiswa Bakti BCA
0,4,3.72,10,Beasiswa Bakti BCA
0,4,3.69,10,Beasiswa Bakti BCA
2,3,3.35,10,Beasiswa Bakti BCA
0,1,3.61,10,Beasiswa Bakti BCA
0,4,3.31,10,Beasiswa Bakti BCA
0,2,3.88,10,Beasiswa Bakti BCA
0,1,3.53,10,Beasiswa Bakti BCA
0,4,3.28,10,Beasiswa Bakti BCA
3,3,3.77,10,Beasiswa Bakti BCA
2,3,3.74,10,Beasiswa Bakti BCA
0,3,3.46,10,Beasiswa Bakti BCA
0,2,3.84,10,Beasiswa Bakti BCA
0,3,3.55,10,Beasiswa Bakti BCA
2,3,3.88,10,Beasiswa Bakti BCA
1,2,3.52,10,Beasiswa Bakti BCA
1,1,3.42,10,Beasiswa Bakti BCA
2,2,3.37,10,Beasiswa Bakti BCA
0,2,3.41,10,Beasiswa Bakti BCA
0,3,3.37,10,Beasiswa Bakti BCA
1,1,3.53,10,Beasiswa Bakti BCA
2,3,3.36,10,Beasiswa Bakti BCA
0,1,3.39,10,Beasiswa Bakti BCA
0,1,3.38,10,Beasiswa Bakti BCA
1,3,3.7,10,Beasiswa Bakti BCA
1,2,3.97,10,Beasiswa Bakti BCA
0,4,3.48,10,Beasiswa Bakti BCA
3,2,3.3,10,Beasiswa Bakti BCA
0,2,3.46,10,Beasiswa Bakti BCA
2,3,3.83,10,Beasiswa Bakti BCA
0,4,3.26,10,Beasiswa Bakti BCA
2,3,3.84,10,Beasiswa Bakti BCA
0,3,3.75,10,Beasiswa Bakti BCA
0,4,3.78,10,Beasiswa Bakti BCA
4,3,3.35,10,Beasiswa Bakti BCA
0,3,3.52,10,Beasiswa Bakti BCA
0,3,3.89,10,Beasiswa Bakti BCA
0,2,4.0,10,Beasiswa Bakti BCA
4,3,3.27,10,Beasiswa Bakti BCA
0,2,3.62,10,Beasiswa Bakti BCA
0,1,3.9,10,Beasiswa Bakti BCA
1,3,3.28,10,Beasiswa Bakti BCA
4,4,3.47,10,Beasiswa Bakti BCA
4,3,3.47,10,Beasiswa Bakti BCA
1,2,3.95,10,Beasiswa Bakti BCA
0,2,3.69,10,Beasiswa Bakti BCA
0,2,3.97,10,Beasiswa Bakti BCA
0,3,3.69,10,Beasiswa Bakti BCA
3,4,3.35,10,Beasiswa Bakti BCA
2,3,3.37,10,Beasiswa Bakti BCA
0,3,3.4,10,Beasiswa Bakti BCA
1,1,3.62,10,Beasiswa Bakti BCA
2,2,3.75,10,Beasiswa Bakti BCA
0,4,3.3,10,Beasiswa Bakti BCA
0,4,3.27,10,Beasiswa Bakti BCA
0,3,3.48,10,Beasiswa Bakti BCA
2,3,3.78,10,Beasiswa Bakti BCA
0,1,3.58,10,Beasiswa Bakti BCA
3,3,3.26,10,Beasiswa Bakti BCA
0,3,3.73,10,Beasiswa Bakti BCA
1,3,3.45,10,Beasiswa Bakti BCA
2,3,3.57,10,Beasiswa Bakti BCA
3,3,3.89,10,Beasiswa Bakti BCA
3,3,3.94,10,Beasiswa Bakti BCA
0,3,3.42,10,Beasiswa Bakti BCA
0,3,3.82,10,Beasiswa Bakti BCA
3,2,3.54,10,Beasiswa Bakti BCA
0,4,3.87,10,Beasiswa Bakti BCA
3,4,3.62,10,Beasiswa Bakti BCA
2,3,3.34,10,Beasiswa Bakti BCA
0,3,3.66,10,Beasiswa Bakti BCA
0,3,3.73,10,Beasiswa Bakti BCA
0,1,3.61,10,Beasiswa Bakti BCA
0,2,3.88,10,Beasiswa Bakti BCA
0,4,3.6,10,Beasiswa Bakti BCA
3,3,3.33,10,Beasiswa Bakti BCA
1,3,3.29,10,Beasiswa Bakti BCA
2,4,3.71,10,Beasiswa Bakti BCA
0,3,3.48,10,Beasiswa Bakti BCA
3,2,3.28,10,Beasiswa Bakti BCA
0,3,3.49,10,Beasiswa Bakti BCA
0,4,3.84,10,Beasiswa Bakti BCA
4,3,3.41,10,Beasiswa Bakti BCA
3,4,3.85,10,Beasiswa Bakti BCA
1,4,3.9,10,Beasiswa Bakti BCA
2,2,3.93,10,Beasiswa Bakti BCA
0,3,3.82,10,Beasiswa Bakti BCA
0,4,3.86,10,Beasiswa Bakti BCA
1,2,3.26,10,Beasiswa Bakti BCA
2,4,3.75,10,Beasiswa Bakti BCA
0,2,3.99,10,Beasiswa Bakti BCA
0,4,3.69,10,Beasiswa Bakti BCA
2,2,3.87,10,Beasiswa Bakti BCA
0,3,3.36,10,Beasiswa Bakti BCA
1,3,3.4,10,Beasiswa Bakti BCA
0,3,3.88,10,Beasiswa Bakti BCA
2,3,3.55,10,Beasiswa Bakti BCA
0,1,3.97,10,Beasiswa Bakti BCA
3,2,3.62,10,Beasiswa Bakti BCA
2,3,3.53,10,Beasiswa Bakti BCA
0,3,3.28,10,Beasiswa Bakti BCA
1,4,3.86,10,Beasiswa Bakti BCA
2,2,3.47,10,Beasiswa Bakti BCA
1,2,3.92,10,Beasiswa Bakti BCA
4,4,3.96,10,Beasiswa Bakti BCA
2,3,3.73,10,Beasiswa Bakti BCA
0,3,3.74,10,Beasiswa Bakti BCA
0,3,3.99,10,Beasiswa Bakti BCA
0,3,3.93,10,Beasiswa Bakti BCA
1,4,3.81,10,Beasiswa Bakti BCA
0,3,3.25,10,Beasiswa Bakti BCA
0,2,3.5,10,Beasiswa Bakti BCA
0,4,3.27,10,Beasiswa Bakti BCA
4,3,3.74,10,Beasiswa Bakti BCA
1,2,3.77,10,Beasiswa Bakti BCA
4,3,3.48,10,Beasiswa Bakti BCA
0,4,3.54,10,Beasiswa Bakti BCA
1,3,3.86,10,Beasiswa Bakti BCA
1,3,3.27,10,Beasiswa Bakti BCA
4,1,3.61,10,Beasiswa Bakti BCA
0,4,3.36,10,Beasiswa Bakti BCA
1,2,3.39,10,Beasiswa Bakti BCA
0,3,3.96,10,Beasiswa Bakti BCA
0,2,3.46,10,Beasiswa Bakti BCA
0,4,3.33,10,Beasiswa Bakti BCA
0,4,3.65,10,Beasiswa Bakti BCA
0,4,3.39,10,Beasiswa Bakti BCA
2,3,3.65,10,Beasiswa Bakti BCA
3,2,3.73,10,Beasiswa Bakti BCA
0,2,3.31,10,Beasiswa Bakti BCA
0,2,3.89,10,Beasiswa Bakti BCA
0,4,3.38,10,Beasiswa Bakti BCA
0,4,3.42,10,Beasiswa Bakti BCA
2,2,3.66,10,Beasiswa Bakti BCA
1,2,3.88,10,Beasiswa Bakti BCA
0,4,3.85,10,Beasiswa Bakti BCA
0,4,3.36,10,Beasiswa Bakti BCA
0,3,3.73,10,Beasiswa Bakti BCA
0,3,3.51,10,Beasiswa Bakti BCA
4,3,3.69,10,Beasiswa Bakti BCA
0,4,3.85,10,Beasiswa Bakti BCA
1,4,3.69,10,Beasiswa Bakti BCA
3,2,3.52,10,Beasiswa Bakti BCA
3,2,3.41,10,Beasiswa Bakti BCA
0,2,3.92,10,Beasiswa Bakti BCA
2,3,3.48,10,Beasiswa Bakti BCA
2,2,3.88,10,Beasiswa Bakti BCA
0,2,3.25,10,Beasiswa Bakti BCA
1,3,3.48,10,Beasiswa Bakti BCA
2,1,3.96,10,Beasiswa Bakti BCA
0,3,3.59,10,Beasiswa Bakti BCA
0,1,3.52,10,Beasiswa Bakti BCA
1,2,3.74,10,Beasiswa Bakti BCA
3,3,3.5,10,Beasiswa Bakti BCA
0,3,3.54,10,Beasiswa Bakti BCA
1,4,3.74,10,Beasiswa Bakti BCA
0,4,3.37,10,Beasiswa Bakti BCA
2,4,3.82,10,Beasiswa Bakti BCA
2,3,3.91,10,Beasiswa Bakti BCA
0,3,3.31,10,Beasiswa Bakti BCA
1,2,3.77,10,Beasiswa Bakti BCA
0,2,3.38,10,Beasiswa Bakti BCA
0,4,3.35,10,Beasiswa Bakti BCA
4,2,3.45,10,Beasiswa Bakti BCA
0,3,3.98,10,Beasiswa Bakti BCA
3,3,3.37,10,Beasiswa Bakti BCA
2,2,3.94,10,Beasiswa Bakti BCA
0,4,3.89,10,Beasiswa Bakti BCA
1,4,3.4,10,Beasiswa Bakti BCA
0,4,3.29,10,Beasiswa Bakti BCA
3,2,3.8,10,Beasiswa Bakti BCA
3,3,3.84,10,Beasiswa Bakti BCA
3,2,3.74,10,Beasiswa Bakti BCA
4,3,3.7,10,Beasiswa Bakti BCA
3,4,3.84,10,Beasiswa Bakti BCA
1,3,3.82,10,Beasiswa Bakti BCA
1,3,3.8,10,Beasiswa Bakti BCA
0,1,3.49,10,Beasiswa Bakti BCA
0,1,3.36,10,Beasiswa Bakti BCA
0,4,3.72,10,Beasiswa Bakti BCA
0,2,3.91,10,Beasiswa Bakti BCA
3,4,3.96,10,Beasiswa Bakti BCA
1,3,3.98,10,Beasiswa Bakti BCA
0,2,3.43,10,Beasiswa Bakti BCA
4,4,3.46,10,Beasiswa Bakti BCA
0,2,3.92,10,Beasiswa Bakti BCA
2,2,3.25,10,Beasiswa Bakti BCA
2,2,3.44,10,Beasiswa Bakti BCA
0,3,3.38,10,Beasiswa Bakti BCA
0,3,3.4,10,Beasiswa Bakti BCA
2,3,3.89,10,Beasiswa Bakti BCA
2,3,3.68,10,Beasiswa Bakti BCA
3,4,3.55,10,Beasiswa Bakti BCA
0,4,3.36,10,Beasiswa Bakti BCA
3,2,3.67,10,Beasiswa Bakti BCA
0,2,3.71,10,Beasiswa Bakti BCA
0,4,3.5,10,Beasiswa Bakti BCA
0,2,3.34,10,Beasiswa Bakti BCA
3,3,3.5,10,Beasiswa Bakti BCA
0,2,3.38,10,Beasiswa Bakti BCA
3,2,3.36,10,Beasiswa Bakti BCA
0,3,3.94,10,Beasiswa Bakti BCA
0,1,3.37,10,Beasiswa Bakti BCA
4,2,3.34,10,Beasiswa Bakti BCA
4,3,3.99,10,Beasiswa Bakti BCA
0,3,3.74,10,Beasiswa Bakti BCA
0,2,3.31,10,Beasiswa Bakti BCA
0,3,3.49,10,Beasiswa Bakti BCA
0,3,3.74,10,Beasiswa Bakti BCA
2,3,3.47,10,Beasiswa Bakti BCA
1,4,3.71,10,Beasiswa Bakti BCA
0,4,3.79,10,Beasiswa Bakti BCA
0,1,3.25,10,Beasiswa Bakti BCA
1,1,3.54,10,Beasiswa Bakti BCA
0,2,3.36,10,Beasiswa Bakti BCA
3,3,3.43,10,Beasiswa Bakti BCA
2,1,3.48,10,Beasiswa Bakti BCA
4,3,3.48,10,Beasiswa Bakti BCA
2,4,3.77,10,Beasiswa Bakti BCA
1,4,3.87,10,Beasiswa Bakti BCA
0,2,3.4,10,Beasiswa Bakti BCA
1,3,3.4,10,Beasiswa Bakti BCA
2,1,3.32,10,Beasiswa Bakti BCA
4,3,3.58,10,Beasiswa Bakti BCA
0,3,3.43,10,Beasiswa Bakti BCA
0,2,3.75,10,Beasiswa Bakti BCA
0,2,3.36,10,Beasiswa Bakti BCA
0,4,3.25,10,Beasiswa Bakti BCA
4,2,3.72,10,Beasiswa Bakti BCA
0,3,3.26,10,Beasiswa Bakti BCA
0,2,3.3,10,Beasiswa Bakti BCA
3,4,3.65,10,Beasiswa Bakti BCA
1,3,3.49,10,Beasiswa Bakti BCA
2,2,3.38,10,Beasiswa Bakti BCA
0,2,3.72,10,Beasiswa Bakti BCA
1,2,3.96,10,Beasiswa Bakti BCA
0,4,3.74,10,Beasiswa Bakti BCA
3,3,3.55,10,Beasiswa Bakti BCA
0,2,3.66,10,Beasiswa Bakti BCA
4,2,3.49,10,Beasiswa Bakti BCA
3,2,3.64,10,Beasiswa Bakti BCA
3,4,3.42,10,Beasiswa Bakti BCA
0,4,3.68,10,Beasiswa Bakti BCA
4,4,3.98,10,Beasiswa Bakti BCA
4,2,3.4,10,Beasiswa Bakti BCA
0,2,3.52,10,Beasiswa Bakti BCA
3,2,3.47,10,Beasiswa Bakti BCA
2,4,3.33,10,Beasiswa Bakti BCA
2,3,3.26,10,Beasiswa Bakti BCA
0,2,3.68,10,Beasiswa Bakti BCA
0,3,3.41,10,Beasiswa Bakti BCA
0,4,3.3,10,Beasiswa Bakti BCA
0,3,3.83,10,Beasiswa Bakti BCA
0,4,3.33,10,Beasiswa Bakti BCA
0,4,3.82,10,Beasiswa Bakti BCA
0,4,3.36,10,Beasiswa Bakti BCA
0,2,3.38,10,Beasiswa Bakti BCA
3,4,3.99,10,Beasiswa Bakti BCA
0,3,3.72,10,Beasiswa Bakti BCA
1,3,3.4,10,Beasiswa Bakti BCA
3,2,3.86,10,Beasiswa Bakti BCA
0,2,3.47,10,Beasiswa Bakti BCA
2,2,3.28,10,Beasiswa Bakti BCA
3,3,3.53,10,Beasiswa Bakti BCA
4,3,3.98,10,Beasiswa Bakti BCA
3,3,3.94,10,Beasiswa Bakti BCA
3,2,3.88,10,Beasiswa Bakti BCA
2,4,3.85,10,Beasiswa Bakti BCA
0,3,3.41,10,Beasiswa Bakti BCA
1,3,3.71,10,Beasiswa Bakti BCA
1,4,3.78,10,Beasiswa Bakti BCA
0,4,3.59,10,Beasiswa Bakti BCA
2,2,3.29,10,Beasiswa Bakti BCA
0,3,3.38,10,Beasiswa Bakti BCA
1,2,3.96,10,Beasiswa Bakti BCA
1,2,3.43,10,Beasiswa Bakti BCA
3,4,3.58,10,Beasiswa Bakti BCA
1,3,3.72,10,Beasiswa Bakti BCA
