Column1;Volunteers;Internships;National_Honor;National_Top3;International_Honor;International_Top3;Certification;Professional_Certification;Scholarships;Scholarship_Type;Scholarship_Name;GPA
0;41;21;0;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.3
0;40;15;1;2;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.6
0;31;20;3;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.17
0;34;29;3;1;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.91
0;40;33;2;0;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.37
0;21;24;0;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.61
0;35;5;3;1;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.19
0;22;42;2;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.08
0;25;9;0;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.66
0;23;22;2;1;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.1
0;44;14;1;1;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.06
0;23;41;3;1;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.05
0;37;21;2;1;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.85
0;50;9;0;1;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.07
0;43;39;0;2;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.49
0;49;43;2;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.71
0;22;36;2;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.39
0;55;36;1;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.54
0;21;34;1;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.11
0;30;43;3;0;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.02
0;48;13;0;1;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.4
0;54;23;0;2;0;0;0;1;[10];[1];['Beasiswa Baznas'];3.91
0;53;3;1;1;0;0;0;0;[10];[1];['Beasiswa Baznas'];3.85
